part_id,subsystem,description,quantity,source_class,make_or_buy,material_or_model,process_or_supplier,nominal_mass_kg,mass_basis,mass_rollup,manufacturing_release_state,evidence_path
a300_integrated_base_nominal,mobility,Clearpath Husky A300 integrated base including four drives batteries and encoder allocations,1,upstream_open_description,buy,Clearpath Husky A300 40Ah,Clearpath,78.500000,nominal_expanded_urdf_allocation,baseline_allocated,reference_only_not_released,config/high_fidelity_vehicle/pre_urdf_contract.yaml
arm_gripper_wrist_system_nominal,manipulation,UR5e arm controller 2F-85 adapter pedestal and wrist D435 integrated allocation,1,mixed_upstream_and_project_authored,make_and_buy,UR5e plus 2F-85 integrated stack,project integration,40.342576,nominal_expanded_urdf_allocation,baseline_allocated,design_required_not_released,config/high_fidelity_vehicle/formal_vehicle_component_register.yaml
bodywork_service_safety_system_nominal,bodywork,Body shells service doors lighting charge drain emergency stop and contact-safety integrated allocation,1,project_authored_geometry,make,project bodywork service and safety assembly,project fabrication pending,12.280004,nominal_expanded_urdf_allocation,baseline_allocated,design_required_not_released,starter_ws/src/sanitation_vehicle_description/cad/formal_vehicle/formal_vehicle_layout.scad
cleaning_recovery_system_nominal,cleaning,Brush roller lift squeegee suction hoses filter and recovery drive integrated allocation,1,mixed_project_and_vendor,make_and_buy,cleaning and recovery assembly,project integration,11.125000,nominal_expanded_urdf_allocation,baseline_allocated,design_required_not_released,starter_ws/src/sanitation_vehicle_description/urdf/high_fidelity/cleaning_mechanism.xacro
storage_waste_system_nominal,storage,Dry bin wet tank hopper gate drain and storage frame integrated allocation,1,project_authored_geometry,make,split dry wet storage assembly,project fabrication pending,10.362001,nominal_expanded_urdf_allocation,baseline_allocated,design_required_not_released,starter_ws/src/sanitation_vehicle_description/urdf/high_fidelity/storage_system.xacro
sensor_mast_sensor_system_nominal,sensors,Sensor tower project mounts and nine sensor installations integrated allocation,1,mixed_upstream_and_project_authored,make_and_buy,sensor mast and installation assembly,project integration,3.948001,nominal_expanded_urdf_allocation,baseline_allocated,design_required_not_released,config/high_fidelity_vehicle/formal_vehicle_component_register.yaml
power_compute_system_nominal,power_compute,S100 enclosure PDU DC/DC safety relay and main-power service hardware integrated allocation,1,mixed_project_and_vendor,make_and_buy,low voltage power and compute assembly,project integration,3.450001,nominal_expanded_urdf_allocation,baseline_allocated,design_required_not_released,starter_ws/src/sanitation_vehicle_description/urdf/high_fidelity/a300_platform.xacro
ur5e_arm,manipulation,UR5e six-axis manipulator,1,upstream_open_description,buy,Universal Robots UR5e,Universal Robots,20.600000,vendor_nominal_reference_only,reference_only_not_additive,reference_only_not_released,config/high_fidelity_vehicle/pre_urdf_contract.yaml
ur5e_control_box,manipulation,UR e-Series control box,1,project_authored_from_public_datasheet,buy,UR e-Series standard control box,Universal Robots,12.000000,vendor_nominal_reference_only,reference_only_not_additive,reference_only_not_released,config/high_fidelity_vehicle/pre_urdf_contract.yaml
robotiq_2f85,manipulation,Adaptive gripper with tool adapter,1,upstream_open_description,buy,Robotiq 2F-85,Robotiq,0.900000,vendor_nominal_reference_only,reference_only_not_additive,reference_only_not_released,config/high_fidelity_vehicle/pre_urdf_contract.yaml
